iter	Passed	Remaining
0	0	75
1	1	67
2	1	62
3	2	56
4	2	55
5	3	55
6	4	56
7	4	55
8	5	55
9	6	54
10	6	53
11	7	53
12	7	52
13	8	51
14	9	52
15	9	51
16	10	51
17	11	51
18	11	50
19	12	50
20	13	49
21	13	49
22	14	48
23	15	47
24	15	47
25	16	46
26	16	45
27	17	45
28	18	44
29	18	43
30	19	42
31	19	41
32	20	41
33	20	40
34	21	39
35	22	39
36	22	38
37	23	37
38	23	37
39	24	36
40	25	36
41	25	35
42	26	34
43	26	34
44	27	33
45	28	33
46	28	32
47	29	31
48	29	31
49	30	30
50	31	29
51	31	29
52	32	28
53	32	28
54	33	27
55	33	26
56	34	25
57	34	25
58	35	24
59	35	23
60	36	23
61	36	22
62	37	22
63	38	21
64	38	20
65	39	20
66	40	19
67	41	19
68	41	18
69	42	18
70	43	17
71	43	16
72	44	16
73	44	15
74	45	15
75	46	14
76	46	13
77	47	13
78	47	12
79	48	12
80	48	11
81	49	10
82	50	10
83	50	9
84	51	9
85	51	8
86	52	7
87	52	7
88	53	6
89	53	5
90	54	5
91	55	4
92	55	4
93	56	3
94	57	3
95	58	2
96	58	1
97	59	1
98	60	0
99	60	0
